X1,X2,Group
AT1G22540.1,AT1G22550.1,Tandem
AT1G22550.1,AT1G22570.1,Tandem
AT1G69860.1,AT1G69870.1,Tandem
AT1G72120.1,AT1G72125.1,Tandem
AT1G72125.1,AT1G72130.1,Tandem
AT1G72130.1,AT1G72140.1,Tandem
AT3G45650.1,AT3G45660.1,Tandem
AT3G45680.1,AT3G45690.1,Tandem
AT3G45690.1,AT3G45700.1,Tandem
AT3G45700.1,AT3G45710.1,Tandem
AT3G45710.1,AT3G45720.1,Tandem
AT5G46040.1,AT5G46050.1,Tandem
AT1G27040.1,AT1G69850.1,Collinearity
AT1G27080.1,AT1G69860.1,Collinearity
AT1G22540.1,AT1G72120.1,Collinearity
AT1G52190.1,AT3G16180.1,Collinearity
AT2G37900.1,AT3G53960.1,Collinearity
AT2G38100.1,AT3G54140.1,Collinearity
AT3G01350.1,AT5G14940.1,Collinearity
