"","X1","X2","count","description"
"1","Sobic.001G032000.1.p","A-box",0,"Stress related"
"2","Sobic.001G099400.1.p","A-box",1,"Stress related"
"3","Sobic.001G111150.1.p","A-box",0,"Stress related"
"4","Sobic.001G133900.1.p","A-box",1,"Stress related"
"5","Sobic.001G223100.2.p","A-box",0,"Stress related"
"6","Sobic.001G223200.1.p","A-box",1,"Stress related"
"7","Sobic.001G275500.2.p","A-box",0,"Stress related"
"8","Sobic.001G275600.2.p","A-box",0,"Stress related"
"9","Sobic.001G275800.1.p","A-box",0,"Stress related"
"10","Sobic.001G276100.1.p","A-box",0,"Stress related"
"11","Sobic.001G276300.1.p","A-box",2,"Stress related"
"12","Sobic.001G276400.1.p","A-box",0,"Stress related"
"13","Sobic.001G276600.1.p","A-box",0,"Stress related"
"14","Sobic.001G276700.1.p","A-box",0,"Stress related"
"15","Sobic.001G276800.1.p","A-box",1,"Stress related"
"16","Sobic.001G282000.1.p","A-box",1,"Stress related"
"17","Sobic.001G282100.1.p","A-box",0,"Stress related"
"18","Sobic.001G302800.1.p","A-box",0,"Stress related"
"19","Sobic.001G443900.1.p","A-box",0,"Stress related"
"20","Sobic.001G444000.1.p","A-box",0,"Stress related"
"21","Sobic.001G444100.1.p","A-box",0,"Stress related"
"22","Sobic.001G511000.2.p","A-box",1,"Stress related"
"23","Sobic.001G541900.2.p","A-box",2,"Stress related"
"24","Sobic.002G000800.2.p","A-box",0,"Stress related"
"25","Sobic.002G064800.1.p","A-box",2,"Stress related"
"26","Sobic.002G091800.1.p","A-box",0,"Stress related"
"27","Sobic.002G367700.1.p","A-box",0,"Stress related"
"28","Sobic.003G076200.2.p","A-box",1,"Stress related"
"29","Sobic.003G107100.1.p","A-box",1,"Stress related"
"30","Sobic.003G185100.1.p","A-box",0,"Stress related"
"31","Sobic.003G295500.1.p","A-box",0,"Stress related"
"32","Sobic.003G304000.1.p","A-box",2,"Stress related"
"33","Sobic.003G304100.1.p","A-box",0,"Stress related"
"34","Sobic.003G371000.1.p","A-box",0,"Stress related"
"35","Sobic.003G371100.1.p","A-box",1,"Stress related"
"36","Sobic.003G371250.1.p","A-box",0,"Stress related"
"37","Sobic.003G371400.1.p","A-box",1,"Stress related"
"38","Sobic.003G371600.2.p","A-box",0,"Stress related"
"39","Sobic.003G371750.1.p","A-box",0,"Stress related"
"40","Sobic.003G372000.1.p","A-box",0,"Stress related"
"41","Sobic.003G372100.2.p","A-box",0,"Stress related"
"42","Sobic.003G392700.1.p","A-box",2,"Stress related"
"43","Sobic.003G399200.1.p","A-box",2,"Stress related"
"44","Sobic.004G193000.1.p","A-box",4,"Stress related"
"45","Sobic.004G243200.1.p","A-box",2,"Stress related"
"46","Sobic.004G260500.1.p","A-box",2,"Stress related"
"47","Sobic.004G276200.1.p","A-box",0,"Stress related"
"48","Sobic.005G090600.1.p","A-box",0,"Stress related"
"49","Sobic.005G107400.1.p","A-box",0,"Stress related"
"50","Sobic.005G107500.1.p","A-box",0,"Stress related"
"51","Sobic.005G110466.1.p","A-box",0,"Stress related"
"52","Sobic.006G089300.1.p","A-box",0,"Stress related"
"53","Sobic.006G130400.1.p","A-box",4,"Stress related"
"54","Sobic.006G130501.1.p","A-box",0,"Stress related"
"55","Sobic.006G130600.2.p","A-box",0,"Stress related"
"56","Sobic.006G130700.1.p","A-box",1,"Stress related"
"57","Sobic.006G155200.1.p","A-box",0,"Stress related"
"58","Sobic.006G201100.1.p","A-box",0,"Stress related"
"59","Sobic.006G201200.1.p","A-box",0,"Stress related"
"60","Sobic.006G251200.1.p","A-box",2,"Stress related"
"61","Sobic.006G279700.1.p","A-box",2,"Stress related"
"62","Sobic.007G044300.1.p","A-box",0,"Stress related"
"63","Sobic.007G064500.1.p","A-box",2,"Stress related"
"64","Sobic.007G081300.1.p","A-box",0,"Stress related"
"65","Sobic.007G160900.1.p","A-box",0,"Stress related"
"66","Sobic.007G213200.1.p","A-box",0,"Stress related"
"67","Sobic.008G081200.1.p","A-box",2,"Stress related"
"68","Sobic.008G081400.1.p","A-box",1,"Stress related"
"69","Sobic.008G081500.1.p","A-box",0,"Stress related"
"70","Sobic.008G180300.1.p","A-box",0,"Stress related"
"71","Sobic.008G190200.1.p","A-box",0,"Stress related"
"72","Sobic.009G049900.4.p","A-box",0,"Stress related"
"73","Sobic.009G099000.1.p","A-box",1,"Stress related"
"74","Sobic.009G101800.2.p","A-box",0,"Stress related"
"75","Sobic.009G136500.1.p","A-box",1,"Stress related"
"76","Sobic.009G136600.1.p","A-box",0,"Stress related"
"77","Sobic.009G136700.1.p","A-box",1,"Stress related"
"78","Sobic.009G136800.1.p","A-box",0,"Stress related"
"79","Sobic.009G136900.1.p","A-box",0,"Stress related"
"80","Sobic.009G148800.1.p","A-box",0,"Stress related"
"81","Sobic.009G148900.1.p","A-box",0,"Stress related"
"82","Sobic.010G099700.1.p","A-box",0,"Stress related"
"83","Sobic.010G109200.1.p","A-box",0,"Stress related"
"84","Sobic.010G127800.1.p","A-box",1,"Stress related"
"85","Sobic.010G133100.1.p","A-box",0,"Stress related"
"86","Sobic.010G166850.1.p","A-box",0,"Stress related"
"87","Sobic.010G175900.2.p","A-box",2,"Stress related"
"88","Sobic.K022800.1.p","A-box",2,"Stress related"
"89","Sobic.001G032000.1.p","AAGAA-motif",0,"Plant growth and development"
"90","Sobic.001G099400.1.p","AAGAA-motif",0,"Plant growth and development"
"91","Sobic.001G111150.1.p","AAGAA-motif",0,"Plant growth and development"
"92","Sobic.001G133900.1.p","AAGAA-motif",1,"Plant growth and development"
"93","Sobic.001G223100.2.p","AAGAA-motif",0,"Plant growth and development"
"94","Sobic.001G223200.1.p","AAGAA-motif",1,"Plant growth and development"
"95","Sobic.001G275500.2.p","AAGAA-motif",1,"Plant growth and development"
"96","Sobic.001G275600.2.p","AAGAA-motif",0,"Plant growth and development"
"97","Sobic.001G275800.1.p","AAGAA-motif",0,"Plant growth and development"
"98","Sobic.001G276100.1.p","AAGAA-motif",2,"Plant growth and development"
"99","Sobic.001G276300.1.p","AAGAA-motif",1,"Plant growth and development"
"100","Sobic.001G276400.1.p","AAGAA-motif",0,"Plant growth and development"
"101","Sobic.001G276600.1.p","AAGAA-motif",0,"Plant growth and development"
"102","Sobic.001G276700.1.p","AAGAA-motif",2,"Plant growth and development"
"103","Sobic.001G276800.1.p","AAGAA-motif",0,"Plant growth and development"
"104","Sobic.001G282000.1.p","AAGAA-motif",2,"Plant growth and development"
"105","Sobic.001G282100.1.p","AAGAA-motif",0,"Plant growth and development"
"106","Sobic.001G302800.1.p","AAGAA-motif",0,"Plant growth and development"
"107","Sobic.001G443900.1.p","AAGAA-motif",0,"Plant growth and development"
"108","Sobic.001G444000.1.p","AAGAA-motif",2,"Plant growth and development"
"109","Sobic.001G444100.1.p","AAGAA-motif",0,"Plant growth and development"
"110","Sobic.001G511000.2.p","AAGAA-motif",0,"Plant growth and development"
"111","Sobic.001G541900.2.p","AAGAA-motif",1,"Plant growth and development"
"112","Sobic.002G000800.2.p","AAGAA-motif",0,"Plant growth and development"
"113","Sobic.002G064800.1.p","AAGAA-motif",0,"Plant growth and development"
"114","Sobic.002G091800.1.p","AAGAA-motif",1,"Plant growth and development"
"115","Sobic.002G367700.1.p","AAGAA-motif",0,"Plant growth and development"
"116","Sobic.003G076200.2.p","AAGAA-motif",0,"Plant growth and development"
"117","Sobic.003G107100.1.p","AAGAA-motif",0,"Plant growth and development"
"118","Sobic.003G185100.1.p","AAGAA-motif",0,"Plant growth and development"
"119","Sobic.003G295500.1.p","AAGAA-motif",1,"Plant growth and development"
"120","Sobic.003G304000.1.p","AAGAA-motif",1,"Plant growth and development"
"121","Sobic.003G304100.1.p","AAGAA-motif",0,"Plant growth and development"
"122","Sobic.003G371000.1.p","AAGAA-motif",0,"Plant growth and development"
"123","Sobic.003G371100.1.p","AAGAA-motif",2,"Plant growth and development"
"124","Sobic.003G371250.1.p","AAGAA-motif",0,"Plant growth and development"
"125","Sobic.003G371400.1.p","AAGAA-motif",1,"Plant growth and development"
"126","Sobic.003G371600.2.p","AAGAA-motif",0,"Plant growth and development"
"127","Sobic.003G371750.1.p","AAGAA-motif",1,"Plant growth and development"
"128","Sobic.003G372000.1.p","AAGAA-motif",0,"Plant growth and development"
"129","Sobic.003G372100.2.p","AAGAA-motif",0,"Plant growth and development"
"130","Sobic.003G392700.1.p","AAGAA-motif",0,"Plant growth and development"
"131","Sobic.003G399200.1.p","AAGAA-motif",0,"Plant growth and development"
"132","Sobic.004G193000.1.p","AAGAA-motif",3,"Plant growth and development"
"133","Sobic.004G243200.1.p","AAGAA-motif",0,"Plant growth and development"
"134","Sobic.004G260500.1.p","AAGAA-motif",1,"Plant growth and development"
"135","Sobic.004G276200.1.p","AAGAA-motif",0,"Plant growth and development"
"136","Sobic.005G090600.1.p","AAGAA-motif",0,"Plant growth and development"
"137","Sobic.005G107400.1.p","AAGAA-motif",3,"Plant growth and development"
"138","Sobic.005G107500.1.p","AAGAA-motif",1,"Plant growth and development"
"139","Sobic.005G110466.1.p","AAGAA-motif",1,"Plant growth and development"
"140","Sobic.006G089300.1.p","AAGAA-motif",0,"Plant growth and development"
"141","Sobic.006G130400.1.p","AAGAA-motif",0,"Plant growth and development"
"142","Sobic.006G130501.1.p","AAGAA-motif",0,"Plant growth and development"
"143","Sobic.006G130600.2.p","AAGAA-motif",0,"Plant growth and development"
"144","Sobic.006G130700.1.p","AAGAA-motif",0,"Plant growth and development"
"145","Sobic.006G155200.1.p","AAGAA-motif",1,"Plant growth and development"
"146","Sobic.006G201100.1.p","AAGAA-motif",2,"Plant growth and development"
"147","Sobic.006G201200.1.p","AAGAA-motif",2,"Plant growth and development"
"148","Sobic.006G251200.1.p","AAGAA-motif",0,"Plant growth and development"
"149","Sobic.006G279700.1.p","AAGAA-motif",0,"Plant growth and development"
"150","Sobic.007G044300.1.p","AAGAA-motif",0,"Plant growth and development"
"151","Sobic.007G064500.1.p","AAGAA-motif",0,"Plant growth and development"
"152","Sobic.007G081300.1.p","AAGAA-motif",0,"Plant growth and development"
"153","Sobic.007G160900.1.p","AAGAA-motif",0,"Plant growth and development"
"154","Sobic.007G213200.1.p","AAGAA-motif",1,"Plant growth and development"
"155","Sobic.008G081200.1.p","AAGAA-motif",1,"Plant growth and development"
"156","Sobic.008G081400.1.p","AAGAA-motif",3,"Plant growth and development"
"157","Sobic.008G081500.1.p","AAGAA-motif",1,"Plant growth and development"
"158","Sobic.008G180300.1.p","AAGAA-motif",3,"Plant growth and development"
"159","Sobic.008G190200.1.p","AAGAA-motif",0,"Plant growth and development"
"160","Sobic.009G049900.4.p","AAGAA-motif",1,"Plant growth and development"
"161","Sobic.009G099000.1.p","AAGAA-motif",2,"Plant growth and development"
"162","Sobic.009G101800.2.p","AAGAA-motif",1,"Plant growth and development"
"163","Sobic.009G136500.1.p","AAGAA-motif",0,"Plant growth and development"
"164","Sobic.009G136600.1.p","AAGAA-motif",1,"Plant growth and development"
"165","Sobic.009G136700.1.p","AAGAA-motif",0,"Plant growth and development"
"166","Sobic.009G136800.1.p","AAGAA-motif",0,"Plant growth and development"
"167","Sobic.009G136900.1.p","AAGAA-motif",1,"Plant growth and development"
"168","Sobic.009G148800.1.p","AAGAA-motif",0,"Plant growth and development"
"169","Sobic.009G148900.1.p","AAGAA-motif",1,"Plant growth and development"
"170","Sobic.010G099700.1.p","AAGAA-motif",0,"Plant growth and development"
"171","Sobic.010G109200.1.p","AAGAA-motif",2,"Plant growth and development"
"172","Sobic.010G127800.1.p","AAGAA-motif",1,"Plant growth and development"
"173","Sobic.010G133100.1.p","AAGAA-motif",1,"Plant growth and development"
"174","Sobic.010G166850.1.p","AAGAA-motif",0,"Plant growth and development"
"175","Sobic.010G175900.2.p","AAGAA-motif",4,"Plant growth and development"
"176","Sobic.K022800.1.p","AAGAA-motif",4,"Plant growth and development"
"177","Sobic.001G032000.1.p","ABRE",5,"Plant hormone related"
"178","Sobic.001G099400.1.p","ABRE",3,"Plant hormone related"
"179","Sobic.001G111150.1.p","ABRE",6,"Plant hormone related"
"180","Sobic.001G133900.1.p","ABRE",2,"Plant hormone related"
"181","Sobic.001G223100.2.p","ABRE",5,"Plant hormone related"
"182","Sobic.001G223200.1.p","ABRE",2,"Plant hormone related"
"183","Sobic.001G275500.2.p","ABRE",3,"Plant hormone related"
